item_id,order_id,product_id,category,subcategory,brand,quantity,mrp,discount_pct,final_price,revenue,cost,profit,profit_margin,order_date,order_year,state,return_flag
ITEM00000001,ORD0000001,PROD0041,Electronics,Headphones,Xiaomi,1,121574.0,10,109417.0,109417.0,43813.0,65604.0,59.96,2021-05-05,2021,Madhya Pradesh,0
ITEM00000002,ORD0000002,PROD0382,Beauty & Health,Makeup,Lakme,2,1362.0,25,1022.0,2044.0,1386.0,658.0,32.19,2023-12-06,2023,Maharashtra,0
ITEM00000003,ORD0000003,PROD0272,Beauty & Health,Haircare,Mamaearth,1,2487.0,25,1865.0,1865.0,1114.0,751.0,40.27,2021-04-20,2021,Madhya Pradesh,0
ITEM00000004,ORD0000004,PROD0481,Beauty & Health,Haircare,Himalaya,4,3951.0,20,3161.0,12644.0,7600.0,5044.0,39.89,2023-04-21,2023,Madhya Pradesh,0
ITEM00000005,ORD0000004,PROD0451,Beauty & Health,Makeup,Patanjali,3,526.0,60,210.0,630.0,327.0,303.0,48.1,2023-04-21,2023,Madhya Pradesh,0
ITEM00000006,ORD0000004,PROD0130,Office Supplies,Printers,Canon,1,7689.0,25,5767.0,5767.0,2973.0,2794.0,48.45,2023-04-21,2023,Madhya Pradesh,0
ITEM00000007,ORD0000005,PROD0049,Sports & Fitness,Gym Equipment,Nivia,1,1422.0,30,995.0,995.0,432.0,563.0,56.58,2024-09-28,2024,Punjab,0
ITEM00000008,ORD0000006,PROD0732,Grocery,Staples,Britannia,1,1921.0,25,1441.0,1441.0,637.0,804.0,55.79,2021-03-28,2021,West Bengal,0
ITEM00000009,ORD0000006,PROD0544,Beauty & Health,Skincare,Patanjali,2,524.0,20,419.0,838.0,408.0,430.0,51.31,2021-03-28,2021,West Bengal,0
ITEM00000010,ORD0000007,PROD0623,Office Supplies,Furniture,Godrej,1,4323.0,20,3458.0,3458.0,1620.0,1838.0,53.15,2024-08-15,2024,Karnataka,0
ITEM00000011,ORD0000008,PROD0101,Automotive,Car Accessories,3M,4,14889.0,15,12656.0,50624.0,28260.0,22364.0,44.18,2024-10-16,2024,Uttar Pradesh,0
ITEM00000012,ORD0000008,PROD0029,Books,Business,HarperCollins,2,1921.0,40,1153.0,2306.0,1250.0,1056.0,45.79,2024-10-16,2024,Uttar Pradesh,0
ITEM00000013,ORD0000008,PROD0716,Toys & Games,Educational,Fisher-Price,1,6084.0,10,5476.0,5476.0,2414.0,3062.0,55.92,2024-10-16,2024,Uttar Pradesh,0
ITEM00000014,ORD0000008,PROD0085,Sports & Fitness,Gym Equipment,SG,2,14741.0,60,5896.0,11792.0,9574.0,2218.0,18.81,2024-10-16,2024,Uttar Pradesh,0
ITEM00000015,ORD0000009,PROD0111,Toys & Games,Board Games,Fisher-Price,1,6550.0,5,6222.0,6222.0,3345.0,2877.0,46.24,2023-04-18,2023,Kerala,0
