product_id,product_name,category,subcategory,brand,mrp,selling_price,discount_pct,cost_price,weight_kg,rating,review_count,stock_quantity,is_active,launch_date,supplier_id
PROD0001,Toyzone Action Figures 917,Toys & Games,Action Figures,Toyzone,5928.0,3557.0,40,2035.0,6.87,3.7,1408,222,1,2022-09-29,SUP028
PROD0002,Funskool Action Figures 513,Toys & Games,Action Figures,Funskool,6215.0,6215.0,0,2940.0,4.13,3.4,3223,327,1,2019-04-25,SUP034
PROD0003,Sony Mobile Phones 421,Electronics,Mobile Phones,Sony,18098.0,12669.0,30,6047.0,4.76,4.7,3292,59,1,2018-09-23,SUP038
PROD0004,Philips Furniture 441,Home & Kitchen,Furniture,Philips,32436.0,27571.0,15,15335.0,8.35,3.2,2245,68,1,2019-09-02,SUP006
PROD0005,Bosch Bike Accessories 156,Automotive,Bike Accessories,Bosch,11739.0,7043.0,40,3431.0,5.91,4.8,4117,213,0,2019-06-28,SUP015
PROD0006,Biotique Haircare 107,Beauty & Health,Haircare,Biotique,3874.0,3293.0,15,2250.0,10.16,4.3,4869,266,1,2018-10-23,SUP018
PROD0007,Cosco Yoga 543,Sports & Fitness,Yoga,Cosco,6593.0,3296.0,50,2160.0,12.88,4.4,727,266,1,2018-02-02,SUP030
PROD0008,Faber-Castell Storage 397,Office Supplies,Storage,Faber-Castell,4567.0,3882.0,15,2459.0,8.48,3.1,3651,150,1,2019-03-23,SUP026
PROD0009,Biotique Supplements 685,Beauty & Health,Supplements,Biotique,4170.0,2085.0,50,1165.0,13.44,4.9,859,224,1,2021-08-09,SUP041
PROD0010,Cosco Gym Equipment 287,Sports & Fitness,Gym Equipment,Cosco,10158.0,9650.0,5,5322.0,1.48,2.6,2664,116,1,2021-03-11,SUP021
PROD0011,Aashirvaad Spices 863,Grocery,Spices,Aashirvaad,1317.0,1054.0,20,587.0,12.93,5.0,1866,214,1,2019-06-25,SUP013
PROD0012,Dabur Dairy 612,Grocery,Dairy,Dabur,1041.0,520.0,50,323.0,13.04,5.0,4990,207,0,2022-05-16,SUP047
PROD0013,Xiaomi Laptops 542,Electronics,Laptops,Xiaomi,38453.0,26917.0,30,18662.0,2.54,4.2,3494,217,1,2021-04-08,SUP037
PROD0014,Biotique Supplements 466,Beauty & Health,Supplements,Biotique,2681.0,2279.0,15,1531.0,11.39,2.5,1866,191,1,2022-01-20,SUP018
