return_id,order_id,product_id,customer_id,return_date,return_reason,return_amount,refund_status,refund_days,category
RET000001,ORD0000024,PROD0149,CUST02756,2020-09-07,Damaged in Transit,22760.0,Refunded,12,Home & Kitchen
RET000002,ORD0000027,PROD0055,CUST01858,2022-08-13,Size Issue,12264.0,Pending,4,Toys & Games
RET000003,ORD0000037,PROD0053,CUST03506,2024-11-17,Damaged in Transit,27000.0,Pending,9,Fashion
RET000004,ORD0000037,PROD0726,CUST03506,2024-11-17,Defective Product,46436.0,Refunded,7,Electronics
RET000005,ORD0000051,PROD0622,CUST01010,2023-05-25,Defective Product,1170.0,Rejected,9,Toys & Games
RET000006,ORD0000051,PROD0324,CUST01010,2023-05-25,Changed Mind,1070.0,Refunded,12,Grocery
RET000007,ORD0000051,PROD0106,CUST01010,2023-05-25,Size Issue,532.0,Refunded,10,Books
RET000008,ORD0000051,PROD0696,CUST01010,2023-05-25,Better Price Found,543.0,Refunded,3,Books
RET000009,ORD0000056,PROD0028,CUST04342,2024-10-31,Size Issue,723.0,Refunded,6,Sports & Fitness
RET000010,ORD0000056,PROD0379,CUST04342,2024-10-31,Wrong Item,416.0,Refunded,11,Grocery
RET000011,ORD0000056,PROD0023,CUST04342,2024-10-31,Damaged in Transit,40962.0,Refunded,8,Electronics
RET000012,ORD0000056,PROD0475,CUST04342,2024-10-31,Wrong Item,493.0,Refunded,12,Books
RET000013,ORD0000056,PROD0511,CUST04342,2024-10-31,Wrong Item,1365.0,Refunded,11,Office Supplies
RET000014,ORD0000058,PROD0283,CUST01247,2020-05-28,Wrong Item,255.0,Refunded,13,Grocery
RET000015,ORD0000058,PROD0557,CUST01247,2020-05-28,Changed Mind,2148.0,Refunded,7,Office Supplies
RET000016,ORD0000058,PROD0203,CUST01247,2020-05-28,Defective Product,9366.0,Refunded,6,Fashion
RET000017,ORD0000063,PROD0422,CUST00457,2022-05-24,Wrong Item,10200.0,Refunded,7,Fashion
RET000018,ORD0000079,PROD0634,CUST03976,2022-04-18,Wrong Item,3488.0,Refunded,6,Books
RET000019,ORD0000092,PROD0004,CUST02062,2024-09-24,Size Issue,77847.0,Pending,12,Home & Kitchen
RET000020,ORD0000109,PROD0188,CUST04230,2024-05-10,Wrong Item,2836.0,Refunded,11,Books
RET000021,ORD0000112,PROD0689,CUST01737,2021-04-02,Wrong Item,6340.0,Refunded,8,Sports & Fitness
RET000022,ORD0000112,PROD0749,CUST01737,2021-04-02,Wrong Item,17420.0,Refunded,7,Fashion
RET000023,ORD0000117,PROD0570,CUST00637,2023-06-19,Changed Mind,1247.0,Refunded,12,Books
RET000024,ORD0000118,PROD0425,CUST03381,2024-11-05,Wrong Item,9217.0,Refunded,11,Sports & Fitness
RET000025,ORD0000131,PROD0040,CUST03927,2022-01-07,Better Price Found,1431.0,Refunded,13,Grocery
RET000026,ORD0000131,PROD0281,CUST03927,2022-01-07,Defective Product,1122.0,Refunded,13,Grocery
RET000027,ORD0000131,PROD0501,CUST03927,2022-01-07,Better Price Found,20800.0,Rejected,14,Home & Kitchen
RET000028,ORD0000162,PROD0481,CUST03454,2024-01-20,Damaged in Transit,7112.0,Refunded,14,Beauty & Health
RET000029,ORD0000166,PROD0350,CUST01596,2023-02-08,Size Issue,23738.0,Refunded,5,Sports & Fitness
RET000030,ORD0000167,PROD0694,CUST01351,2022-04-07,Changed Mind,13237.0,Refunded,14,Sports & Fitness
RET000031,ORD0000167,PROD0570,CUST01351,2022-04-07,Better Price Found,2364.0,Refunded,10,Books
RET000032,ORD0000167,PROD0340,CUST01351,2022-04-07,Wrong Item,1143.0,Pending,3,Beauty & Health
RET000033,ORD0000167,PROD0405,CUST01351,2022-04-07,Damaged in Transit,7096.0,Refunded,11,Fashion
RET000034,ORD0000170,PROD0262,CUST02922,2024-07-23,Wrong Item,29856.0,Refunded,14,Home & Kitchen
RET000035,ORD0000170,PROD0061,CUST02922,2024-07-23,Damaged in Transit,19017.0,Refunded,5,Home & Kitchen
RET000036,ORD0000170,PROD0790,CUST02922,2024-07-23,Changed Mind,9152.0,Refunded,13,Fashion
RET000037,ORD0000177,PROD0056,CUST02841,2023-04-10,Damaged in Transit,5214.0,Refunded,8,Beauty & Health
RET000038,ORD0000178,PROD0283,CUST03371,2021-02-17,Size Issue,319.0,Refunded,13,Grocery
RET000039,ORD0000188,PROD0683,CUST00824,2023-07-30,Wrong Item,336.0,Pending,10,Books
RET000040,ORD0000188,PROD0556,CUST00824,2023-07-30,Better Price Found,3848.0,Refunded,14,Toys & Games
RET000041,ORD0000188,PROD0348,CUST00824,2023-07-30,Size Issue,24769.0,Refunded,8,Electronics
RET000042,ORD0000188,PROD0032,CUST00824,2023-07-30,Defective Product,33796.0,Refunded,12,Home & Kitchen
RET000043,ORD0000188,PROD0354,CUST00824,2023-07-30,Better Price Found,468.0,Pending,11,Fashion
RET000044,ORD0000194,PROD0760,CUST01128,2023-10-20,Defective Product,7587.0,Pending,3,Fashion
RET000045,ORD0000194,PROD0316,CUST01128,2023-10-20,Wrong Item,3384.0,Refunded,13,Toys & Games
RET000046,ORD0000194,PROD0753,CUST01128,2023-10-20,Damaged in Transit,6062.0,Refunded,9,Office Supplies
RET000047,ORD0000194,PROD0657,CUST01128,2023-10-20,Wrong Item,2319.0,Refunded,5,Books
RET000048,ORD0000194,PROD0670,CUST01128,2023-10-20,Size Issue,2528.0,Refunded,14,Books
RET000049,ORD0000203,PROD0314,CUST04120,2021-11-13,Size Issue,17271.0,Refunded,4,Home & Kitchen
RET000050,ORD0000203,PROD0642,CUST04120,2021-11-13,Damaged in Transit,13846.0,Refunded,9,Automotive
RET000051,ORD0000203,PROD0644,CUST04120,2021-11-13,Defective Product,5688.0,Refunded,3,Beauty & Health
RET000052,ORD0000229,PROD0433,CUST03570,2022-07-20,Better Price Found,136074.0,Refunded,13,Electronics
RET000053,ORD0000229,PROD0036,CUST03570,2022-07-20,Size Issue,5374.0,Rejected,14,Fashion
